entity,type
Khinwsar,GPE
Ambala,GPE
Mohd Sajid,PERSON
Namakkal,GPE
Anupam Kher,PERSON
Sunaina Chautala,PERSON
Pawar Senior's,PERSON
WUP,ORG
HISAR,PERSON
H S Rekhi,PERSON
Alipur,GPE
Jasbir Singh Sandhu,PERSON
Rajnath Singh,POL
The Haryana Police,ORG
SKM Sanyukt Kisan Morcha,ORG
The Samyukta Kisan Morcha,ORG
Union de Uniones,ORG
The Delhi Assembly,ORG
Bhagwant Singh Mann,PERSON
Kamaripeth Friends Circle,ORG
Muzaffarnagar,GPE
Theni,GPE
Bharatiya Janata Party,ORG
PDFA,ORG
LS,ORG
Khanna,GPE
Bishnoi,PERSON
Bangar,GPE
UPA,ORG
The Central Board of Secondary Education,ORG
Nehru,PERSON
Tamil Nadu's,GPE
Kyiv,GPE
TNN AMBALA,PERSON
J&K,GPE
Shri Ganganagar,GPE
Gulzar Singh,PERSON
Erode,GPE
Shiromani Akali Dal Badal,ORG
Puikhadi,GPE
Pai Platforms',ORG
Bishan Singh,DIR
Raja Harish Chandra Hospital,ORG
ED,ORG
BKU-Tikait,ORG
The Sarbat Da Bhala Charitable Trust,ORG
Samyukt Kisan Morcha,ORG
Joy Tirkey,PERSON
Ravi Patil,PERSON
"""BJP",ORG
Railway Protection Force,ORG
Ranjit Chautala,PERSON
Marek Vyborny,PERSON
Rashtriya Loktantrik Party,ORG
Gulati,PERSON
Sehra,GPE
CBFC,ORG
Rakesh Tikait,POL
Azad Palwa,PERSON
Indore,GPE
Mann,PERSON
Hooda,PERSON
House,ORG
Nagaur,GPE
UPCC,ORG
LUCKNOW,GPE
Akshata Thanvi,PERSON
Chandni Chowk,GPE
Andhra Pradesh,GPE
Kashmir Singh,POL
Krishna Byregowda,DIR
Uttar Pradesh Congress Committee,ORG
Avas Vikas Parishad,ORG
State,ORG
Northern Railways,ORG
Joginder Singh Ugrahan,PERSON
Kolhapur city's,GPE
Karachi,GPE
The Wrestling Federation of India,ORG
TOI Auto,ORG
GURGAON,GPE
The Rural Coordination,ORG
Gurjant Singh,POL
Badarpur,GPE
BJP,ORG
Dhanbad,GPE
Khattar,PERSON
Tesla,ORG
Manohar Lal Khattar,POL
Jammu-Katra,GPE
M K Stalin,PERSON
Banwarilal Purohit,PERSON
Nangloi Chowk,GPE
Apsara Reddy,PERSON
KMM,ORG
EU,ORG
Shatrujeet Kapur,PERSON
Tungwali village,GPE
Instagram,ORG
Mumbai,GPE
Poland,GPE
Kavitha,POL
Vipin Malhan,PERSON
Lakhan Ghanghoriya,PERSON
Kurukshetra,GPE
Ramesh Chennithala,DIR
NTR,GPE
Ambala Division,ORG
Jatland,GPE
Modi,PERSON
Azmi,PERSON
Aam Aadmi Party’s,ORG
Bhartiya Kisan Union,ORG
Majri village,GPE
kisan bhawan,GPE
Satyapal Malik,PERSON
Rajindra Hospital,ORG
Krushna Kumar,PERSON
the Gautam Buddh Nagar Police,ORG
IIM-A's,ORG
UCC,ORG
Vikas Suri,PERSON
Gangneung,GPE
Sukhdev Singh Dhindsa,POL
Udhampur,GPE
ONDC,ORG
Richa Chadha,PERSON
Khuzdar,GPE
Gandhi,PERSON
Bhagat Singh,PERSON
Babu Jagjeevan Ram Hospital,ORG
MSP,ORG
Shashi Kiran,PERSON
Vijay Rupani,PERSON
Pakistan,GPE
Rahul Gandhi 's,PERSON
BKU Charuni ’s,ORG
Paytm,ORG
Navalur,GPE
Saini,PERSON
Badals,PERSON
Canva,ORG
Sandeep Desai,PERSON
Sher Singh,POL
PATIALA,GPE
CBSE,ORG
Bijnor,GPE
Gopal Rai,PERSON
NP,ORG
Miss India,PERSON
Central Industrial Security Force,ORG
Arun Nehru,DIR
Pillu Khera,GPE
Rahul Dev,PERSON
the Bharatiya Janata Party,ORG
Tunda,PERSON
Ganjam,GPE
Punjab,GPE
GS Sandhawalia,PERSON
Ambedkar,PERSON
Priyanka Gandhi Vadra,PERSON
KT Rama Rao,PERSON
Ambala Cantonment,GPE
Amitabh Dhillon,PERSON
Rahul Gandhi,POL
Vijay Sampla,POL
Gaurav Yadav,DIR
BKU Charuni,PERSON
Ludhiana,GPE
Nikhil Singhal,DIR
Ajit Singh,DIR
Preet Singh,PERSON
Kangana,PERSON
Citroen,ORG
the Sanyukt Kisaan Morcha,ORG
the Northern Railway,ORG
Bhartiya Kisan Parishad,ORG
Central Government,ORG
Preetpal Singh,PERSON
Ugrahan,PERSON
Construction Workers Welfare Board,ORG
the Gurugram Police,ORG
Pai Platforms,ORG
Mullana,GPE
Phillaur,GPE
Chennithala Ramesh Chennithala,PERSON
JAIPUR,GPE
Ekta Dakaunda-Dhaner,PERSON
Sajid Rashidi,PERSON
Construction Workers Welfare Board's,ORG
Madras,GPE
Rajguru,PERSON
Kailash Gahlot,PERSON
Mahamaya,GPE
Hindupur,GPE
Janasena Party,ORG
Vemireddy Prabhakar Reddy,PERSON
NIBCID,ORG
Delhi Noida,GPE
Maharashtra,GPE
Jamaat-e-Islami,ORG
Chaduni,ORG
CPI,ORG
Italy,GPE
Kharkhoda,GPE
Ferozepur,GPE
KKM,ORG
Sukhwinder Singh,POL
Gian Singh,PERSON
Banto Devi Kataria,PERSON
Tejinder Singh Riar,PERSON
G Kishan Reddy,PERSON
Vijay Dewane,DIR
Spy,PERSON
Anish Khatkar,PERSON
BKU Ekta Ugrahan,ORG
MP,ORG
Lok Elections,ORG
Cong,PERSON
the Ambala Division,ORG
Khaps,ORG
HS Rekhi,PERSON
Kucha Mahajani,GPE
Han Hae,PERSON
Jashandeep Singh Randhawa,PERSON
PAU,ORG
Indian National Congress,ORG
T Muthukumar,PERSON
NHRC,ORG
Interior,ORG
Kuldeep,POL
Gogunda,GPE
Sunil Jakhar,POL
BKU Bhadetikalan,GPE
Dior,ORG
BRUSSELS,GPE
Pay Commission,ORG
Benjamin Netanyahu,PERSON
BJP Congress,ORG
BSP,ORG
HC,ORG
INLD,ORG
Ashoke Pandit,PERSON
Shubhkaran,PERSON
Dhar,GPE
Disney,ORG
Amritsar Delhi,GPE
Narendra Modi,POL
ETimes,ORG
TDP,ORG
Punjab Kisan Mazdoor Committee,ORG
Ajmer,GPE
Mainpuri,GPE
Mohri village,GPE
S,ORG
Katra-Ambala-Delhi,GPE
Dhanna Singh,PERSON
JCB,ORG
Freaks Sports Academy,ORG
Ajay Mishra,PERSON
P Kabilan,PERSON
Kairana,GPE
Nagpur,GPE
Nagashettikoppa,GPE
Campco,ORG
Randeep Hooda's,PERSON
