entity,type
Maharashtra Rajya Mathadi Transport,ORG
Reet Kamal Tiwari,PERSON
ONGC Cauvery,ORG
Hira Singh,PERSON
The Sanyukt Kisan Manch,ORG
Keeladi village,GPE
Gurpal Virk,PERSON
Ramavatar Barnala,PERSON
Kumar Chaudhary,PERSON
Khambhalia taluka,GPE
Rakesh Singha,PERSON
OPD,ORG
BC Patil,PERSON
Kalaskar,PERSON
HAL,ORG
Metar,PERSON
Sayla Police Station,ORG
Samruddhi Murdabad”,GPE
Charkhi Mor,GPE
Udharwar Sanjaykumar Vithalrao,PERSON
Rythu Bharosa Kendra,ORG
Premanand Shetty,PERSON
District Tourism Promotion Council,ORG
Narain,PERSON
the Sarvajatiya Khap,ORG
Gaddigodam,GPE
Manerikar,PERSON
Akhilesh Singh,POL
Danka,GPE
Sujit Yadav Lakkad,PERSON
the Airports Authority of India,ORG
Sandeep Mahta,DIR
Surendrasingh Sabarwal,PERSON
Geeta Nagar,GPE
Narsipatnam,GPE
MARGAO,GPE
Ayush Singh,PERSON
Asit K Barma,PERSON
Ramjilal Suman,PERSON
Rajinder,PERSON
Ajay Mishra Teni,PERSON
Devvrat,PERSON
Punjab agriculture department,ORG
Mohd Naseem,POL
Vikram,POL
Kisan Sangharsh Samanvay Samiti,ORG
Narayana Multisp,PERSON
Sardinha,PERSON
Vinaykumar Awate,PERSON
Nav Nirman Kisan Sanghatan Akshay,PERSON
JNPT,ORG
Alex Ellis,PERSON
Bikshapathi C,PERSON
the Bank of India,ORG
Amazon,ORG
Anil Joshiara,PERSON
Shivaraj,PERSON
Andhra Odisha Border,GPE
Khargone,GPE
Marxists Coordination Committee,ORG
Jagtial district,GPE
Sheikhpur,GPE
Jakhar,PERSON
Ram Singh Saini,PERSON
R Rangasamy,PERSON
Indapur,GPE
KSNDMC,ORG
Bhagwan Changle,PERSON
Lingampet,GPE
the Central Variety Release Committee,ORG
Good Samaritan,PERSON
Shalini Yadav,PERSON
Pawan Kumar,POL
National Disaster Management,ORG
Kalmeshwar,POL
Akash Panchbhudhe,PERSON
AMRAVATI,GPE
Mission Kakatiya,ORG
CISCE,ORG
Kiratpur,GPE
Agricultur,ORG
Bodinaykannor,GPE
All India farmers coordinating committee,ORG
the Hyderabad Metropolitan Water Supply and Sewerage Board,ORG
Vogue,ORG
Ekta Ugrahan,GPE
Iqbal Bano’s,PERSON
Jashmin,PERSON
Deepak Singla,PERSON
Kadegaon,GPE
The Advanced Institute for Integrated Research on Livestock and Animal Sciences,ORG
Monicca Aggarwal,DIR
Ravinder Singh Tomar,DIR
Palwinder Singh,POL
Kalliyoor,GPE
Isha Kalia,DIR
E Uday Kiran Reddy,PERSON
Commission,ORG
Harshpreet,PERSON
Nitesh,PERSON
Jayashankar Telangana State Agriculture University,ORG
Narasayya Adam,PERSON
Mavli(Udaipur,GPE
Virendra Singh Sindhu,PERSON
Unions,ORG
Maninderjit Singh,POL
sangh,ORG
Tamilaga Cauvery Vivasayigal Sangam,ORG
Cauvery S Dhanapalan,PERSON
Wockhardt Hospital,ORG
Neura,GPE
Shahjanahpur,GPE
Chaudhary Birender Singh,POL
Kalghatagi taluk,GPE
MPCB,ORG
Naresh Kumar,PERSON
The Bhartiya Kisan Union’s,ORG
Chayan,GPE
Natthu Lal Jatav’s,PERSON
Sh,ORG
Nidesh,PERSON
Sajag Nagrik Manch,ORG
Bodaki village,GPE
The Kisan Congress,ORG
Khera khap,GPE
Zamirullah Khan,PERSON
D Gokulnath,PERSON
Bhagu,PERSON
BMW,ORG
Joginder Mayar,PERSON
Reliance Seeds (Process) Company,ORG
Samekit Birsa Gram Vika Yojana cum Krishak Pathshala,ORG
Behat,GPE
Ramesh Mandalik,PERSON
Rajat Nara,PERSON
Chadrapur,GPE
Satyaveer Singh,PERSON
Morcha,ORG
Nikita Tiwari,DIR
Krishak Bandhu Scheme,ORG
Kerala State Civil Supplies Corporation,ORG
Mallika,PERSON
Kuberpur,GPE
APSDPS,ORG
Borala,GPE
Navnath Khandu Rajguru,PERSON
Surjit Singh,POL
Chetticulam,GPE
Rajashan,GPE
Birdha,GPE
Visavadar,GPE
Rapria,PERSON
NDPS,ORG
Sandeep Behal,PERSON
Diwan,PERSON
Shafi Jiruka,PERSON
Salasar,GPE
Gurjeet Aujla,PERSON
Shanthamallappa,PERSON
Sattanepalle,GPE
Godrej Tyson Foods Ltd,ORG
Krishika,ORG
Malwa Chambers of Commerce and Industries,ORG
Surendranagar,GPE
Madhak,PERSON
Cansaulim,GPE
