id,entity,type,louv_community_weighted
0,Kanadia village,GPE,13467
1,M Manohar Reddy,PERSON,18149
2,Puvayan,GPE,3644
3,Tobacco,ORG,1527
4,Moti,PERSON,10780
5,Sawaikar,PERSON,3160
6,Lok Bandhu,PERSON,8841
7,Niti Aayog,ORG,215
8,Jalmuru,GPE,6619
9,Harpanahalli,GPE,2763
10,Behvalpur,GPE,3644
11,Supreme Court,ORG,4688
12,Rashidpur village,GPE,3644
13,Bajawala,GPE,3644
14,Shahul Hameed,DIR,3003
15,the Apex Bank,ORG,8841
16,Bharatiya Kisan Sangam,ORG,215
17,Sunil Kumar Singh,POL,3644
18,Ochlandra,PERSON,11194
19,Rangampet,GPE,215
20,Rajesh Khirsagar,PERSON,15549
21,Shishupal,POL,3644
22,Abhel Charolia,PERSON,12381
23,Venkaiah Naidu,POL,6619
24,Pullambadi,GPE,215
25,Sattari Shetkari Manch,ORG,3160
26,Swarn Singh,POL,937
27,Veluru,GPE,18149
28,Union,GPE,4688
29,the General Body of the NMC,ORG,15549
30,Barabanki,GPE,3644
31,SC/ST,ORG,8841
32,GDCL,ORG,15549
33,Medica Superspeciality Hospital,ORG,1561
34,Gurminder Singh,DIR,4688
35,Kargil Chowk,GPE,10780
36,Satav,PERSON,4688
37,Mahan Dal,ORG,3644
38,Umar Khamisa Katiya,PERSON,1341
39,K Lokanatham,PERSON,6619
40,Bhavalkheda village,GPE,8841
41,Cent,ORG,3644
42,Coimbatorians,PERSON,215
43,Jharasangam,GPE,18149
44,Yograj,PERSON,4688
45,Kumaram Bheem,GPE,18149
46,The Food Corporation of India,ORG,4688
47,Chandor,GPE,3160
48,Paragpur,GPE,6266
49,Bhatt,PERSON,12381
50,Chaudhary Charan Singh,PERSON,3644
51,the Kerala HC,ORG,11194
52,Brackish Water Research Centre,ORG,12381
53,Krantisinha Nana Patil,PERSON,15549
54,Boora,PERSON,19072
55,Onkar Singh,POL,3644
56,Ramautar,POL,3644
57,Purali,GPE,6266
58,R Udhaya Kumar,PERSON,215
59,Amritsar-Chandigarh Superfast Express,ORG,937
60,Hansi town,GPE,4688
61,the Ambulance Drivers' Association,ORG,3644
62,Constructors San Jose-GVK Projects,ORG,15549
63,Nimoth,GPE,4688
64,Annamalai Nagar,GPE,215
65,Vilas Bolada,PERSON,15549
66,Sanjay Shinde,PERSON,15549
67,the Ministry of Jal Shakti,ORG,215
68,IAS,ORG,1527
69,SZKSS,ORG,3644
70,Veerapandi,PERSON,215
71,Model Town,GPE,4688
72,Alanganallur,GPE,215
73,JAC,ORG,6619
74,E B Chakurkar,PERSON,3160
75,Devanand,POL,6619
76,M Eesan,PERSON,215
77,Chakkar,GPE,4688
78,Kutubkheda,GPE,15549
79,Bogampatti,GPE,215
80,National Statistical Office,ORG,4688
81,Sajjanrao More,PERSON,2763
82,the M S Swaminathan Commission,ORG,4688
83,Penguin,ORG,83
84,Nafed,PERSON,15549
85,the Centre for Intangible Heritage Studies,ORG,6266
86,Kajri Niranjanpur,GPE,3644
87,IIM Ahmedabad,GPE,12381
88,Amiben,PERSON,12381
89,Jitu Charolia,PERSON,12381
90,Shelju Subrahmanyan,PERSON,3644
91,Deepak Singh,DIR,3644
92,F,ORG,215
93,Mosim Sayyad,PERSON,15549
94,the Coimbatore Medical College and Hospital,ORG,215
95,Bharatiya Janata Party’s,ORG,4688
96,Sanjiv Singh,DIR,10780
97,Mallika,PERSON,215
98,Paidipally,GPE,18149
99,patwari,PERSON,8841
100,Surinder Kumar,PERSON,15549
101,Nagaur,GPE,8841
102,Kummari Rajaiah,PERSON,18149
103,Tulsiram,POL,8841
104,Tondarpur village,GPE,3644
105,IFA,ORG,15549
106,Sasidhar,PERSON,6619
107,Goa State Urban Development Agency,ORG,3160
108,Neetu Singh,POL,6619
109,Aldona,GPE,3160
110,Kangeyam,GPE,215
111,Medak addi,PERSON,18149
112,CAIT,ORG,18149
113,Sheo,GPE,8841
114,Mission Kakatiya,ORG,18149
115,Dhanbad,GPE,10780
116,Rana K P Singh,PERSON,4688
117,M Karuppanna Goundar,PERSON,215
118,Behala,GPE,1561
119,Gadwal,GPE,18149
120,Mota Agariya,GPE,12381
121,Nallareddy,PERSON,2763
122,the Sugarcane Department,ORG,3644
123,Kamalapuram,GPE,215
124,agricultura,ORG,15549
125,the Saryu Canal National Project,ORG,15549
126,Maigalganj,GPE,3644
127,T Pettai,GPE,215
128,Venkatesh Shinde,PERSON,6266
129,the UK Parliament’s,ORG,6266
130,Goyal,PERSON,4688
131,Vettukuli,GPE,215
132,Tukum village,GPE,15549
133,Shanthi Social Services,ORG,215
134,Bhartiya Kisan Union (Rajewal),ORG,4688
135,Sohan Pal,POL,3644
136,Raman Kumar,PERSON,4688
137,R Chithra Devi,PERSON,215
138,Shiv Kumar Trivedi,PERSON,13467
139,Pranav Jha,PERSON,4688
140,Thirupoonthiruthi,GPE,215
141,U Ravichandran,PERSON,215
142,Sawna Public Health Centre,ORG,4229
143,Vinoba Nagar,GPE,215
144,Harmeet Singh Kadian,PERSON,4688
145,Marxist Coordination Committee,ORG,10780
146,Vilas Shinde,PERSON,15549
147,Subham Banerjee,DIR,2763
148,Manvir Saini,PERSON,4688
149,All India Kisan Sangarsh Coordination Committee,ORG,18149
150,Babloo,PERSON,3644
151,Dedicated Covid Hospital,ORG,15549
152,Kashi Vishwanath,PERSON,3644
153,Bhagwat Shendge,PERSON,15549
154,Kothavadi,GPE,215
155,Byadagi APMC,ORG,6619
156,Omalur,GPE,215
157,Umeshwari,PERSON,15549
158,M S Sonak,PERSON,3160
159,Jasdev Sekhon,PERSON,4688
160,Gajanan Mallya,PERSON,937
161,UN Mehta Hospital,ORG,12381
162,Subhash Rao,PERSON,8841
163,Katli village,GPE,4688
164,All India Congress,ORG,3644
165,Dharmendra Singh Lathar,PERSON,3644
166,Shyam Banjara,PERSON,8841
167,Nanma,ORG,937
168,AV Ravi Kumar,PERSON,18149
169,Rourkela,GPE,3644
170,Kesineni Nani,PERSON,6619
171,Omkar,POL,15549
172,BRS Nagar,GPE,4688
173,Nanora,GPE,3160
174,Jagseer,PERSON,4688
175,Hardeep Singh Nijjar,PERSON,6266
176,JK Singh,PERSON,4688
177,Sunilkumar,ORG,215
178,Phulchand Tirkey,PERSON,10780
179,SHG,ORG,215
180,Bahujan Vikas Aghadi,ORG,15549
181,Digvijaya Singh,POL,13467
182,Saroop Ram’s,PERSON,937
183,Subhash Puranik,PERSON,925
184,Bodke,PERSON,15549
185,Balluru village,GPE,2763
186,Junagadh Agriculture University,ORG,12381
187,the Akhil Bharatiya Kisan Sangharsh Samanyay Samiti,ORG,13467
188,RCS L Subramanian,ORG,215
