entity,type
Chakar,GPE
Anjangaon,GPE
SAD,ORG
mahagathbandhan,GPE
Kanu Bhatt,PERSON
UGDP,ORG
Netaji Subhash Chandra Bose,PERSON
Suresh Rana,PERSON
Karnataka,GPE
Sarabjit Kaur Manuke,PERSON
Chhota Udepur,GPE
Dadaji,PERSON
Malavalli,GPE
Kulan,GPE
Rajesh Gupta,DIR
Diwala village,GPE
Venkatrasa,PERSON
Mandir Marg,GPE
Nakkapalli,GPE
utte chitte,PERSON
Ramani,PERSON
Maran,PERSON
Gulab Singh,POL
Banganj,GPE
Dariyapur village,GPE
Vidarbha Poultry Association,ORG
Abi Emu,ORG
Gavicherla,GPE
Khanpura village,GPE
Roopnagar,GPE
Pukhvender Singh,PERSON
ICAR-Central Coastal Agricultural Research Institute,ORG
Harish Rao,PERSON
Manjhi,PERSON
Tavitiraju,PERSON
Santhal Parganas,GPE
Sarojini Nagar,GPE
Gandhinagar,GPE
Vadodara/ Anand,GPE
SOG,ORG
George Orwell 's,PERSON
Mahbubabad,GPE
Khandesh Gin/Press Owners & Traders Development Association,ORG
Sant Mohinderpal,PERSON
Simaria,GPE
Aam Aadmi Party’s,ORG
Santosh Thipe,PERSON
RKS,ORG
Shikha Jain,DIR
Thakarsinh Kumbhani,PERSON
Suresh Goyal,PERSON
Sahib Singh,PERSON
GJUST,ORG
Odisha,GPE
Paldi,GPE
Tirunelveli,GPE
Lakhwinder Singh,DIR
Jaspreet Singh,DIR
Shivkumar Sharma,PERSON
Indo Tech Ice and Cold Storage,ORG
Nalwadi Krishnaraja Wadiyar,PERSON
The Elgar Parishad,ORG
Deoghar,GPE
Kishore Tiwari,PERSON
Bhogaraju Pattabhi Seetharamiah,PERSON
Chorao,GPE
Ahmedgarh,GPE
Durai Velan,PERSON
Annadata,GPE
Ghantasala village,GPE
M Karuppanna Goundar,PERSON
Shagun Gautam,PERSON
Siyol,PERSON
Adur Hescom,ORG
Mukesh,POL
Divisional,ORG
PAU,GPE
Mahara,ORG
khaps,ORG
Dilbag,PERSON
Barasat Municipality,GPE
Dolly,PERSON
Sultan Ali,PERSON
Himachal,GPE
Narsampatnam,GPE
Mala,GPE
Vishram,PERSON
Nagorao,PERSON
Sarv Khap panchayat,ORG
Kulwant Singh Malhi,PERSON
PU,ORG
Sikhs For Justice,ORG
Bhuj,GPE
Dushyant Gautam,PERSON
Faradi,GPE
Sindri,GPE
M Vijayakumar,PERSON
Jaivir,PERSON
Lakhwinder,PERSON
Sanjaynagar Pratham,GPE
Katna Singh,PERSON
Gudivada,GPE
city corporation,ORG
Panjrooka,GPE
Golden Temple Mail,ORG
Ramnath Kovind,PERSON
Rajupalem,GPE
Finance Commission,ORG
Sharma,PERSON
Mahoba,GPE
Pazhaverkadu,GPE
Gill,GPE
Assam,GPE
Vallalapatti,GPE
Chiplem,GPE
S Sabin Khanna,PERSON
Navneet Kumar Nayak,PERSON
TUTICORIN,GPE
Patra,PERSON
Kuruvai,GPE
Indian Institute of Research on Commercial Agriculture,ORG
Nana Barman,GPE
Kundlik Rathore,PERSON
Sangrur,GPE
Santhalpur Dhal,GPE
Delhi Pradesh Congress Committee,ORG
Amarin,PERSON
Makwana,PERSON
Ashok Dalawai,PERSON
Bhopala,PERSON
Thuiya village,GPE
the Punjab State Agricultural Marketing Board,ORG
Mumtaz PG College,ORG
Supriyo Bhattacharya,PERSON
TIRUVARUR,GPE
JLN Hospital,ORG
Hastinapur,GPE
Malvinder Singh Kang,PERSON
Shivraj Singh Chauhan,DIR
Mangalwari,GPE
the USA-Punjab Investors’ Roundtable 2020,ORG
the Krishi Vigyan Kendra,ORG
Girish Nagpal,PERSON
Kahlon,PERSON
Qasim,PERSON
Pong,GPE
Darryl D’Souza,PERSON
Puvayan,GPE
the Bharatiya Kisan Union-Bhanu,ORG
Jinu Thomas,DIR
YAMUNANAGAR,GPE
Thirunelveli,GPE
G Mallika,PERSON
Sunil Gulia,PERSON
Suneet Jaiswal,PERSON
Shahrukh Vali Mohammed Safiya,PERSON
Majorda,GPE
Kirti Kisan Union,ORG
Somnath Tambe,PERSON
Gurnam Singh Chaduni,PERSON
Zarifnagar,GPE
Prayagraj,GPE
Zorwar,PERSON
Kisan Mahasbha,ORG
Ghumadi,GPE
CREATE,ORG
Marysville,GPE
Ramesh Tawadkar,PERSON
Kopamandvi,GPE
Sukhdev Singh Kokri Kalan,PERSON
Bhupesh Baghel,POL
Sarwan Singh Pandher,PERSON
Shafiqur Rehman Barq,PERSON
Bhikharipur,GPE
Shankar Singh,DIR
Ravinder Singh,DIR
Sukhbir,PERSON
Ramesh Jimadia,PERSON
Raj Bhavan,ORG
Khiali Chahla,GPE
Saroop Ram’s,PERSON
All India Kishan Sabha,ORG
Telangana,GPE
Gafur,PERSON
Nagorao Kamble,PERSON
BKU Ekta Dakonda,ORG
ADRI,ORG
Jakhal,GPE
Laxman Jagtap,PERSON
Bikram,GPE
The Allahabad HC,ORG
Jagdanand Singh,POL
Anna,PERSON
Tewari,PERSON
Gularbhoj,GPE
Daleep Singh Kunwar,PERSON
J V Meenakshi,DIR
Rani Laxmibai Central Agricultural University,ORG
Ambarsar,GPE
Dehlon,GPE
the Haryana Pashudhan Board,ORG
Pithoragarh,GPE
Indrajeet Patel,PERSON
Bindu,POL
Mau,GPE
Balasaheb Thorat,PERSON
Asian Development Bank,ORG
the Sugarcane Farmers’ Facilitation Committee,ORG
Kadaknath,GPE
Nakkubetta Small Tea Growers Association,ORG
the All India Kisan Sabha,ORG
the UP Cooperative Federation Limited,ORG
Ransing Rathwa,PERSON
Pune,GPE
CHANDIGARH,PERSON
the Grapes Farmers Association,ORG
Sassoon,GPE
Handesra village,GPE
Amma,PERSON
Lahore,GPE
Army,ORG
Megh Raj,PERSON
Kisan Mazdoor Ekta Zindabad,ORG
Gopalakrishnegowda,PERSON
Sayla Police Station,ORG
the Upper House,ORG
The Nilgiri Small Tea Growers & Farmers Development Society,ORG
Kireet Kumar,PERSON
Haldua,GPE
Darbar Sahib,GPE
T Jeevan Reddy,PERSON
the Marathwada Labour Union,ORG
Rammehar Dhul alias Bittu,PERSON
V Dakshinamoorthy,PERSON
Vennaru,GPE
Savita,PERSON
Lok Chetna Lehar,ORG
the Indian Institutes of Technology,ORG
Gutha Sukender Reddy,POL
FPO,ORG
Dandeli,GPE
Aduru,GPE
Janardan Nachinolkar,PERSON
Girish Chodankar,PERSON
Nizar,PERSON
Abhay Kolarkar,PERSON
Hoshangabad,GPE
Tuljapur,GPE
Avdhesg,PERSON
SFJ,ORG
Jennifer Doudna,PERSON
Kodambakkam,GPE
Jeyanthi Muthuraman,PERSON
Prasad Velip,PERSON
Hescom Hubballi,PERSON
Vishwajeet Kadam,PERSON
Lakhwinder Singh Waraich,PERSON
K P Anbalagan,PERSON
Praful Patel,POL
P Nagaraju,PERSON
Randeep Kumar,DIR
Nihal Pandey,PERSON
Randeep Singh Surjewala,PERSON
Mahendra Patel,PERSON
Cauvery farmers’ protection,ORG
Kurudampalayam,GPE
Palammal,PERSON
Rashtrapati Bhawan,ORG
the Planning Commission,ORG
Nizamabad,GPE
Jhammat,GPE
Thirukkuvalai,GPE
Nidesh,PERSON
Sikh Coalition’s,ORG
Mexico,GPE
Vikram,POL
Shukla,PERSON
Salkhan Murmu,POL
T K S Elangovan,POL
Dosanjh,PERSON
NIO,ORG
G Kanagasabapathy,PERSON
Vadtal,GPE
Gola,GPE
PPCC,ORG
Naranpura,GPE
Pratap Dighavkar,PERSON
PACCS,ORG
‘Mera Tractor’,ORG
Date,PERSON
Khalistan Tiger Force,ORG
Tiruvallur,GPE
Sindagi,GPE
Guthi Chaitanya Sindhu,PERSON
Aurriya,GPE
Lata Mangeshkar Hospital,ORG
Yamunanagar district,GPE
Jalpally,GPE
KSRDPRU,ORG
Basti,GPE
Madras Court,ORG
N Uttam Kumar Reddy,PERSON
Rayalaseema,GPE
Abhishek,DIR
AHVS,ORG
Murthal,GPE
Yogesh Chandra Yadav,PERSON
The Kisan Mahapanchayat,ORG
Arun Kumar,PERSON
V S Sivakumar,PERSON
Vergani,GPE
KSSS,ORG
Kurdi,GPE
K Rajendran,PERSON
CRPF,ORG
Baldev Singh Sirsa,PERSON
AN Mittal,PERSON
Rakesh Kumar Tikait,PERSON
Navsari,GPE
Rabi,GPE
Kutubpur,GPE
Greater Hyderabad,GPE
Harjinder Singh Gharachon,PERSON
KOZHIKODE,GPE
Ajmer,PERSON
Yacharam,GPE
Arjun Ram Meghwal,POL
SHG,ORG
Shilsingh Nehra,PERSON
Bansal,PERSON
Kittesampatty village,GPE
Lawaniya,PERSON
Amarjit Singh,DIR
Oakland,GPE
Dinesh,PERSON
Varanasi,GPE
Uttar Pradesh 's,GPE
Gurudwara Dineshpur,GPE
Kailash Satpute,PERSON
Sangh,ORG
Premnarayan Raikwar,PERSON
Thalaignayiru union,GPE
Marathwada Labour Union,ORG
Ram Das,PERSON
Jayajirao Suryavanshi,PERSON
Dnyaneshwar Bhote,PERSON
Shree Ramnath Ghela Smashan Bhumi Trust,ORG
Mahesh Prabhu,PERSON
Makkena Venkata Subba Rao,PERSON
Dyandeo Wakure,PERSON
M S Swaminathan Research Foundation’s,ORG
the National Bank for Agriculture and Rural Development,ORG
Gannavaram,GPE
Singhu,PERSON
People’s Union for Civil Liberties,ORG
ML Parashuram,PERSON
Sakchi,GPE
Vinay Tendulkar,PERSON
BJP Govt,ORG
CHANDIGARH/JAIPUR,GPE
MFA,ORG
Shanthamallappa,PERSON
FBTL,ORG
Toba,GPE
Manjit Singh Bilaspur,PERSON
Bakshi Ram,PERSON
Harchand Singh Barsat,PERSON
Satrem,GPE
Dotasra,PERSON
Dharam Veer Singh,PERSON
Gurdwara Patshahi Chhevin,PERSON
Vishwanath Gowda,PERSON
Narendra Modi,POL
Palamedu,GPE
Chunala,GPE
PRTC,ORG
Bhojpur,GPE
Labour,ORG
Rajasthan Teachers’ Association,ORG
Karimnagar,GPE
Ganesh,PERSON
Jogendra Singh Nain,PERSON
OSD,ORG
V Vijayasai Reddy,POL
The Deccan Gymkhana Parisar Samiti,ORG
All India Congress Committee,ORG
the Kamalapur PS,ORG
Kesh Kumari,PERSON
NDA,ORG
"ministry of environment,",ORG
Girdhari Lal Sahu,PERSON
M Purushotham Kottary,PERSON
Manji Sahib,GPE
Amit Shahji,PERSON
Jivraj Patel,PERSON
Nationalist Congress Party,ORG
Radaiya,PERSON
D H Vasava,PERSON
Sattari,GPE
Prahlad Singh,PERSON
The PAU Employees’ Union,ORG
Jaswinder Singh Garcha,PERSON
Gurpreet Singh,POL
Vanathi Srinivasan,DIR
Navneet Kumar,DIR
Majha,GPE
Centre of Indian Trade Unions,ORG
Co-operative Milk Producers Union Limited,ORG
Jasmeet Hundal,PERSON
KUTCH,PERSON
Sagar Thakkar,PERSON
Kalvirayanpettai,GPE
Thirthahalli,GPE
Bhartiya Kisan Union’s,ORG
Shamli,GPE
Anshumali Srivastava,PERSON
Ravilal,PERSON
Shashi Tharoor,DIR
Mataiyya Lalpur,GPE
Gurdwara Alamgir,GPE
Vaishali,GPE
Boora,PERSON
PANAJI,PERSON
Mehrauli,GPE
The ‘Mann Ki Baat’,ORG
Joe Biden,PERSON
The Andhra Pradesh High Court,ORG
Nallavanipatti,GPE
Marathwada,GPE
Chandrashekhar Bawankule,PERSON
Rajiv Kumar Gupta,DIR
Manjri Budruk,GPE
Swadeshi Jagran Manch,ORG
Yadwinder Shunty,PERSON
Asha Lakra,PERSON
Canacona,PERSON
Chhabra,PERSON
Vijoo Krishnan,PERSON
the Tea Board of India,ORG
the revenue department,ORG
Amdabad,GPE
LIP,ORG
Dharmendra Sharma,DIR
ICAR-CCARI Krishi Vigyan Kendra,ORG
Shanthi Social Services,ORG
Vadaj,GPE
Arukattuthurai,GPE
Hasmukh,GPE
Shivaram Hebbar,PERSON
Sidhartha,PERSON
Kumili,GPE
Amit Tyagi,PERSON
Vangapally village,GPE
RPMA,ORG
Chharra,GPE
LUDHIANA,PERSON
The Yavatmal District Congress Committee,ORG
D Raja,POL
Sathamangalam,GPE
Amareveer Singh Bhullar,PERSON
Satish Patil,DIR
AgNext Technologies,ORG
Harsimran Singh,PERSON
Tafcorn,ORG
Dakbungalow,GPE
Jaswinder Singh,POL
Sonipat,PERSON
Kiran Vissa,PERSON
the Rashtriya Lok Dal,ORG
Sambhal,GPE
Junagadh,GPE
Baltej Singh,PERSON
SCB,ORG
Teaserve,ORG
Naib Singh Saini,PERSON
Lalitkumar Warhade,PERSON
Sani,GPE
Valencia College,ORG
Fatehpura village,GPE
Basai village,GPE
Harjinder,PERSON
Om Parkash Dhankar,POL
Valavav,GPE
VM Singh,PERSON
Nelamangala,GPE
Bilaspur,GPE
YSR Palnadu,ORG
ALWAR/JAIPUR,GPE
PATIALA,PERSON
Sewing Machine Development Club,ORG
Bawal,GPE
Confederation of All India Traders,ORG
National Crime Record Bureau,ORG
K Gangadhar,PERSON
Sembukudipatti,GPE
Vidarbha,GPE
Nagarjuna Sagar,GPE
Varinder Kumar Sharma,DIR
Vijay Zalke,PERSON
Buldhana,GPE
Banumathy,DIR
Sydney,GPE
khap,ORG
LJP,ORG
Ganesh Makwana,PERSON
Neelam Grover,PERSON
Model Town,GPE
Kisku,PERSON
BEGUSARAI,GPE
Sitarganj,GPE
RUDRAPUR,GPE
Guntur,GPE
Kahnaur,GPE
the Gujarat Food and Civil Supplies Corporation,ORG
Chavan,PERSON
Udhayanidhi,PERSON
Sunambur,GPE
Gir Somnath,GPE
Paliganj,GPE
Kaveri,PERSON
BATHINDA/PATIALA:,GPE
Subhash Phaldesai,PERSON
G S Bedi,PERSON
Kisan Union’s,ORG
Haryana Democratic Front,ORG
GTB Nagar,GPE
Rajor,GPE
Haripura,GPE
Basti Jodhewal,GPE
Vodafone Idea Ltd,ORG
Jagadeesan,PERSON
MTYS,ORG
JIND,GPE
Manamadurai,GPE
Kisan Cong,ORG
Farmagudi,GPE
Sachin,PERSON
Swaminathan Committee,ORG
