entity1,entity2,weight,dates
KOTTAYAM,forest department,1,08-2020
Kudappanakkulam,forest department,1,08-2020
Chittar,forest department,1,08-2020
Sheeba,forest department,1,08-2020
T T Mathai,forest department,1,08-2020
Pathanamthitta,forest department,1,08-2020
KOTTAYAM,Kudappanakkulam,1,08-2020
Chittar,KOTTAYAM,1,08-2020
KOTTAYAM,Sheeba,1,08-2020
KOTTAYAM,T T Mathai,1,08-2020
KOTTAYAM,Pathanamthitta,1,08-2020
Chittar,Kudappanakkulam,2,08-2020
Kudappanakkulam,Sheeba,1,08-2020
Kudappanakkulam,T T Mathai,1,08-2020
Kudappanakkulam,Pathanamthitta,2,08-2020
Chittar,Sheeba,2,"08-2020, 09-2020"
Chittar,T T Mathai,1,08-2020
Chittar,Pathanamthitta,3,"08-2020, 09-2020"
Sheeba,T T Mathai,1,08-2020
Pathanamthitta,Sheeba,2,"08-2020, 09-2020"
Pathanamthitta,T T Mathai,1,08-2020
Jodhpur,Lohawat,1,08-2020
Lohawat,Phalodi,1,08-2020
Lohawat,Pali,1,08-2020
Bhartiya Kissan Sangh,Lohawat,1,08-2020
Bhopalgarh,Lohawat,1,08-2020
Bilara,Lohawat,1,08-2020
Lohawat,Tulcha Ram Sanwar,1,08-2020
Lohawat,Osian,1,08-2020
Lohawat,Sanwar,1,08-2020
Jodhpur,Phalodi,1,08-2020
Jodhpur,Pali,1,08-2020
Bhartiya Kissan Sangh,Jodhpur,1,08-2020
Bhopalgarh,Jodhpur,1,08-2020
Bilara,Jodhpur,1,08-2020
Jodhpur,Tulcha Ram Sanwar,1,08-2020
Jodhpur,Osian,1,08-2020
Jodhpur,Sanwar,1,08-2020
Pali,Phalodi,1,08-2020
Bhartiya Kissan Sangh,Phalodi,1,08-2020
Bhopalgarh,Phalodi,1,08-2020
Bilara,Phalodi,1,08-2020
Phalodi,Tulcha Ram Sanwar,1,08-2020
Osian,Phalodi,1,08-2020
Phalodi,Sanwar,1,08-2020
Bhartiya Kissan Sangh,Pali,1,08-2020
Bhopalgarh,Pali,1,08-2020
Bilara,Pali,1,08-2020
Pali,Tulcha Ram Sanwar,1,08-2020
Osian,Pali,1,08-2020
Pali,Sanwar,1,08-2020
Bhartiya Kissan Sangh,Bhopalgarh,1,08-2020
Bhartiya Kissan Sangh,Bilara,1,08-2020
Bhartiya Kissan Sangh,Tulcha Ram Sanwar,1,08-2020
Bhartiya Kissan Sangh,Osian,1,08-2020
Bhartiya Kissan Sangh,Sanwar,1,08-2020
Bhopalgarh,Bilara,1,08-2020
Bhopalgarh,Tulcha Ram Sanwar,1,08-2020
Bhopalgarh,Osian,1,08-2020
Bhopalgarh,Sanwar,1,08-2020
Bilara,Tulcha Ram Sanwar,1,08-2020
Bilara,Osian,1,08-2020
Bilara,Sanwar,1,08-2020
Osian,Tulcha Ram Sanwar,1,08-2020
Sanwar,Tulcha Ram Sanwar,1,08-2020
Osian,Sanwar,1,08-2020
Ganesh Chathurti,Pramod Sawant,1,08-2020
Ganesh Chathurti,PANAJI,1,08-2020
Ganesh Chathurti,Sanjivani,1,08-2020
Chandrakant Kavlekar,Ganesh Chathurti,1,08-2020
Ganesh Chathurti,Govind Gaude,1,08-2020
Ganesh Chathurti,Kavlekar,1,08-2020
Ganesh Chathurti,Gaude,1,08-2020
Ganesh Chathurti,Panaji,1,08-2020
PANAJI,Pramod Sawant,3,"01-2021, 08-2020, 10-2020"
Pramod Sawant,Sanjivani,4,"01-2021, 08-2020, 09-2020"
Chandrakant Kavlekar,Pramod Sawant,2,"08-2020, 09-2020"
Govind Gaude,Pramod Sawant,1,08-2020
Kavlekar,Pramod Sawant,1,08-2020
Gaude,Pramod Sawant,1,08-2020
Panaji,Pramod Sawant,6,"01-2021, 08-2020, 10-2020, 12-2020"
PANAJI,Sanjivani,2,"01-2021, 08-2020"
Chandrakant Kavlekar,PANAJI,1,08-2020
Govind Gaude,PANAJI,1,08-2020
Kavlekar,PANAJI,1,08-2020
Gaude,PANAJI,1,08-2020
PANAJI,Panaji,1,08-2020
Chandrakant Kavlekar,Sanjivani,2,"08-2020, 09-2020"
Govind Gaude,Sanjivani,1,08-2020
Kavlekar,Sanjivani,1,08-2020
Gaude,Sanjivani,1,08-2020
Panaji,Sanjivani,2,"01-2021, 08-2020"
Chandrakant Kavlekar,Govind Gaude,1,08-2020
Chandrakant Kavlekar,Kavlekar,1,08-2020
Chandrakant Kavlekar,Gaude,1,08-2020
Chandrakant Kavlekar,Panaji,1,08-2020
Govind Gaude,Kavlekar,1,08-2020
Gaude,Govind Gaude,1,08-2020
Govind Gaude,Panaji,1,08-2020
Gaude,Kavlekar,1,08-2020
Kavlekar,Panaji,1,08-2020
Gaude,Panaji,1,08-2020
NASHIK/AURANGABAD/ KOLHAPUR:,the All-India Kisan Sabha,1,08-2020
NASHIK/AURANGABAD/ KOLHAPUR:,Navale,1,08-2020
Ajit Navale,NASHIK/AURANGABAD/ KOLHAPUR:,1,08-2020
BJP,NASHIK/AURANGABAD/ KOLHAPUR:,1,08-2020
NASHIK/AURANGABAD/ KOLHAPUR:,TOI,1,08-2020
Maharashtra,NASHIK/AURANGABAD/ KOLHAPUR:,1,08-2020
NASHIK/AURANGABAD/ KOLHAPUR:,the Dudh Udpadakh Saethkari Sangharsh Samiti,1,08-2020
AIKS,NASHIK/AURANGABAD/ KOLHAPUR:,1,08-2020
Navale,the All-India Kisan Sabha,1,08-2020
Ajit Navale,the All-India Kisan Sabha,1,08-2020
BJP,the All-India Kisan Sabha,1,08-2020
TOI,the All-India Kisan Sabha,1,08-2020
Maharashtra,the All-India Kisan Sabha,1,08-2020
the All-India Kisan Sabha,the Dudh Udpadakh Saethkari Sangharsh Samiti,1,08-2020
AIKS,the All-India Kisan Sabha,2,"01-2021, 08-2020"
Ajit Navale,Navale,1,08-2020
BJP,Navale,1,08-2020
Navale,TOI,1,08-2020
Maharashtra,Navale,1,08-2020
Navale,the Dudh Udpadakh Saethkari Sangharsh Samiti,1,08-2020
AIKS,Navale,1,08-2020
Ajit Navale,BJP,1,08-2020
Ajit Navale,TOI,1,08-2020
Ajit Navale,Maharashtra,2,"01-2021, 08-2020"
Ajit Navale,the Dudh Udpadakh Saethkari Sangharsh Samiti,1,08-2020
AIKS,Ajit Navale,1,08-2020
BJP,TOI,26,"01-2021, 08-2020, 09-2020, 10-2020, 11-2020, 12-2020"
BJP,Maharashtra,17,"01-2021, 08-2020, 09-2020, 10-2020, 11-2020, 12-2020"
BJP,the Dudh Udpadakh Saethkari Sangharsh Samiti,1,08-2020
AIKS,BJP,1,08-2020
Maharashtra,TOI,17,"01-2021, 08-2020, 09-2020, 10-2020, 11-2020, 12-2020"
TOI,the Dudh Udpadakh Saethkari Sangharsh Samiti,1,08-2020
AIKS,TOI,1,08-2020
Maharashtra,the Dudh Udpadakh Saethkari Sangharsh Samiti,1,08-2020
AIKS,Maharashtra,4,"01-2021, 08-2020, 10-2020, 12-2020"
AIKS,the Dudh Udpadakh Saethkari Sangharsh Samiti,1,08-2020
Kishore,Ramanagara,1,08-2020
Darshan,Ramanagara,1,08-2020
Pushkar Mallikarjun,Ramanagara,1,08-2020
Ramanagara,STOI,1,08-2020
Ninasam Sathish,Ramanagara,1,08-2020
Mysuru,Ramanagara,1,08-2020
KM Doddi,Ramanagara,1,08-2020
Mandya,Ramanagara,1,08-2020
Ramanagara,Upendra,1,08-2020
BENGALURU,Ramanagara,1,08-2020
Ramanagara,Salman Khan,1,08-2020
Darshan,Kishore,1,08-2020
Kishore,Pushkar Mallikarjun,1,08-2020
Kishore,STOI,1,08-2020
Kishore,Ninasam Sathish,1,08-2020
Kishore,Mysuru,1,08-2020
KM Doddi,Kishore,1,08-2020
Kishore,Mandya,1,08-2020
Kishore,Upendra,1,08-2020
BENGALURU,Kishore,1,08-2020
Kishore,Salman Khan,1,08-2020
Darshan,Pushkar Mallikarjun,1,08-2020
Darshan,STOI,1,08-2020
Darshan,Ninasam Sathish,1,08-2020
Darshan,Mysuru,1,08-2020
Darshan,KM Doddi,1,08-2020
Darshan,Mandya,1,08-2020
Darshan,Upendra,1,08-2020
BENGALURU,Darshan,1,08-2020
Darshan,Salman Khan,1,08-2020
Pushkar Mallikarjun,STOI,1,08-2020
Ninasam Sathish,Pushkar Mallikarjun,1,08-2020
Mysuru,Pushkar Mallikarjun,1,08-2020
KM Doddi,Pushkar Mallikarjun,1,08-2020
Mandya,Pushkar Mallikarjun,1,08-2020
Pushkar Mallikarjun,Upendra,1,08-2020
BENGALURU,Pushkar Mallikarjun,1,08-2020
Pushkar Mallikarjun,Salman Khan,1,08-2020
Ninasam Sathish,STOI,1,08-2020
Mysuru,STOI,1,08-2020
KM Doddi,STOI,1,08-2020
Mandya,STOI,1,08-2020
STOI,Upendra,1,08-2020
BENGALURU,STOI,2,"08-2020, 12-2020"
STOI,Salman Khan,1,08-2020
Mysuru,Ninasam Sathish,1,08-2020
KM Doddi,Ninasam Sathish,1,08-2020
Mandya,Ninasam Sathish,1,08-2020
Ninasam Sathish,Upendra,1,08-2020
BENGALURU,Ninasam Sathish,1,08-2020
Ninasam Sathish,Salman Khan,1,08-2020
KM Doddi,Mysuru,1,08-2020
Mandya,Mysuru,2,"08-2020, 09-2020"
Mysuru,Upendra,1,08-2020
BENGALURU,Mysuru,2,"01-2021, 08-2020"
Mysuru,Salman Khan,1,08-2020
KM Doddi,Mandya,1,08-2020
KM Doddi,Upendra,1,08-2020
BENGALURU,KM Doddi,1,08-2020
KM Doddi,Salman Khan,1,08-2020
Mandya,Upendra,1,08-2020
BENGALURU,Mandya,2,"08-2020, 12-2020"
Mandya,Salman Khan,1,08-2020
BENGALURU,Upendra,1,08-2020
Salman Khan,Upendra,1,08-2020
BENGALURU,Salman Khan,1,08-2020
Sathyamangalam,Thirupathur,1,08-2020
Nellikolu Trust,Thirupathur,1,08-2020
Hosur,Thirupathur,1,08-2020
Thirupathur,UDHAGAMANDALAM,1,08-2020
Thirupathur,Thiruvannamalai,1,08-2020
Thirupathur,Vellore,1,08-2020
Madurai,Thirupathur,1,08-2020
Salem,Thirupathur,1,08-2020
Coimbatore,Thirupathur,1,08-2020
Hasanur,Thirupathur,1,08-2020
Nellikolu Trust,Sathyamangalam,1,08-2020
Hosur,Sathyamangalam,1,08-2020
Sathyamangalam,UDHAGAMANDALAM,1,08-2020
Sathyamangalam,Thiruvannamalai,1,08-2020
Sathyamangalam,Vellore,1,08-2020
Madurai,Sathyamangalam,1,08-2020
Salem,Sathyamangalam,1,08-2020
Coimbatore,Sathyamangalam,2,"01-2021, 08-2020"
Hasanur,Sathyamangalam,1,08-2020
Hosur,Nellikolu Trust,1,08-2020
Nellikolu Trust,UDHAGAMANDALAM,1,08-2020
Nellikolu Trust,Thiruvannamalai,1,08-2020
Nellikolu Trust,Vellore,1,08-2020
Madurai,Nellikolu Trust,1,08-2020
Nellikolu Trust,Salem,1,08-2020
Coimbatore,Nellikolu Trust,1,08-2020
Hasanur,Nellikolu Trust,1,08-2020
Hosur,UDHAGAMANDALAM,1,08-2020
Hosur,Thiruvannamalai,1,08-2020
Hosur,Vellore,1,08-2020
Hosur,Madurai,1,08-2020
Hosur,Salem,1,08-2020
Coimbatore,Hosur,1,08-2020
Hasanur,Hosur,1,08-2020
Thiruvannamalai,UDHAGAMANDALAM,1,08-2020
UDHAGAMANDALAM,Vellore,1,08-2020
Madurai,UDHAGAMANDALAM,1,08-2020
Salem,UDHAGAMANDALAM,1,08-2020
Coimbatore,UDHAGAMANDALAM,1,08-2020
Hasanur,UDHAGAMANDALAM,1,08-2020
Thiruvannamalai,Vellore,1,08-2020
Madurai,Thiruvannamalai,1,08-2020
Salem,Thiruvannamalai,1,08-2020
Coimbatore,Thiruvannamalai,1,08-2020
Hasanur,Thiruvannamalai,1,08-2020
Madurai,Vellore,1,08-2020
Salem,Vellore,2,"08-2020, 12-2020"
Coimbatore,Vellore,1,08-2020
Hasanur,Vellore,1,08-2020
Madurai,Salem,2,"01-2021, 08-2020"
Coimbatore,Madurai,4,"01-2021, 08-2020, 10-2020"
Hasanur,Madurai,1,08-2020
Coimbatore,Salem,3,"08-2020, 10-2020, 11-2020"
Hasanur,Salem,1,08-2020
Coimbatore,Hasanur,2,"08-2020, 09-2020"
Ludhiana,Raman Balasubramanium,1,08-2020
Ludhiana Improvement Trust,Raman Balasubramanium,1,08-2020
LIT,Raman Balasubramanium,1,08-2020
Raman Balasubramanium,Sanjay Talwar,1,08-2020
Ludhiana,Ludhiana Improvement Trust,1,08-2020
LIT,Ludhiana,1,08-2020
Ludhiana,Sanjay Talwar,1,08-2020
LIT,Ludhiana Improvement Trust,1,08-2020
Ludhiana Improvement Trust,Sanjay Talwar,1,08-2020
