name,type
Amit Chavda,PERSON
gongura,ORG
Sukko Devi,PERSON
S Shankar,PERSON
the Goods and Services Tax,ORG
Ajay Rai,PERSON
Madhagaja,ORG
the Kisan Congress,ORG
Dr Sanjay,PERSON
Malerkotla,GPE
Nigdi,GPE
Shah He,PERSON
Kempty Falls,PERSON
SP Kheri,PERSON
Pamani,PERSON
Bhardwaj,ORG
satyagrah,PERSON
Kochupurakal,PERSON
Gurdwara Shri Guru,PERSON
The University of Agricultural Sciences,ORG
Kisan Yatras,PERSON
Abhay Saxena,PERSON
Bhavesh Patel,ORG
Jabarjeet Singh,PERSON
a Primary Agriculture Credit Cooperative Society (PACCS,ORG
the Prevention of Insults,ORG
the International Journal of Academic and Applied Research,ORG
PKMU,ORG
Ammapet,GPE
Udham Singh Nagar’s,ORG
Nitin Raut,PERSON
Vandanmedu,GPE
Tumakuru Cooperative Milk Producers’ Societies Union,ORG
Octogenarian Jasbir Kaur,PERSON
Zarifnagar,PERSON
Mapusa,PERSON
"Uma ,Upender",ORG
Mallikarjun Kharge,PERSON
the Horticulture College and Research Institute,ORG
Kangana Ranaut,PERSON
Anand Ahuja,PERSON
Sanjay,GPE
Charpali,ORG
Parasuvaikkal,GPE
Aji Dam,PERSON
Janardhan Velip,PERSON
Millet Walk,PERSON
Lucknow’s Gomti,ORG
Wayanad,ORG
Bakshi Ram,PERSON
the Niti Aayog,ORG
Ashiyana Ismail Kalvatra,ORG
DSP Gursher Singh,ORG
Gopalakrishnan,PERSON
Bisalpur,GPE
Red Hills,GPE
Covid,PERSON
Bharatiya Kisan Union 's,ORG
Ashok Rai,PERSON
BCom,ORG
the Indian Council of Agriculture Research,ORG
MeeSeva,GPE
Kashmira,PERSON
Bastara,GPE
Trinamool,ORG
Narayan,PERSON
Grahakraja,PERSON
RoR,ORG
The Sanyukta Kisan Morcha Maharashtra,PERSON
Narsinhawadi,GPE
Shobha,PERSON
Farmers ' Market,ORG
Vinod Bhyana,PERSON
Dalitha Sangharsha Samiti,PERSON
Bhiwadi,GPE
DM Haridwar,ORG
Malegoan,GPE
Auraiya,PERSON
Harjinder Singh Baggi,PERSON
Prakash Javadekar,PERSON
T Velmurugan,PERSON
Meerut/Muzaffarnagar/Agra/Rudrapur/Roorkee:,ORG
IIM Kolkata,ORG
Ekta Parishad,PERSON
Thattarmadam,GPE
Medical College Square,ORG
Gediya,PERSON
Abhay Das,PERSON
Raja Mahendra Pratap Singh,PERSON
Maharana Pratap University for Agriculture and Technology,ORG
Virippu,GPE
Coronavirus,PERSON
the Meenangadi Service Cooperative,ORG
Nisarga,ORG
Central Working Committee,ORG
Parkash Singh Badal’s,ORG
Tamilaga Vivasayigal Sangam,ORG
Tanwar,ORG
Jeetendra Ghadge,PERSON
Pirpainty,GPE
Ramji ki Gol,ORG
Pragathi Bhavan,ORG
Ranendra Pratap Swain,PERSON
Jhuljhuli,GPE
Maharashtra state commission,ORG
Yediyurappa,PERSON
Kamal Saheb,PERSON
DBA,ORG
roti-sabzi,PERSON
Kirubakaran,GPE
Liliya,GPE
IAF,GPE
Dr Aravindan Selvaraj,PERSON
Jaipur city,GPE
Student,ORG
Veluru,ORG
Jagdev Singh,PERSON
Capt Amarinder Singh,PERSON
Victim Rajeshwar Dadamal,PERSON
Amit Singh,PERSON
dedh hazar,PERSON
Yogesh Pratap Singh,PERSON
Pandya,PERSON
Tushar Mehta,PERSON
MDU 1,ORG
Quepem,ORG
Indian Space Research Organisation,ORG
Parag Soman,PERSON
Union Bank of India,ORG
the Central Reserve Police Force,ORG
Narkhi,GPE
Sola Medical,ORG
Kapren,PERSON
S Jayakumar,PERSON
Laxman Nagar Giaspura,PERSON
Mohan Babu’s,PERSON
Sadashiva Ullal,PERSON
Navaratra,ORG
