Entity,Type
‘Samyukta Kisan Morcha’,ORG
Panna,PERSON
Balochistan,GPE
Rajewadi,GPE
Gulikadavu,GPE
Avertino Miranda,PERSON
IBC,ORG
Nehra,PERSON
J Rajesh,PERSON
Abhel Charolia,PERSON
Prithvipur,GPE
Malyala,GPE
Anakapalli,GPE
the Sanyukt Kisan Morcha,ORG
NCDEX,ORG
Rad,PERSON
UP State Horticultural Co-operative Marketing Federation,ORG
Jitender Sandhu,PERSON
West Bengal Pradesh Congress Committee,ORG
SC,ORG
Kaluru,GPE
Rajesh Sheladiya,PERSON
the Goa State Horticulture Corporation Limited,ORG
Dukhniwaran Sahib Gurdwara,GPE
Roopnagar,GPE
Mumbai APMC,ORG
Tagore,PERSON
Sanjay Candolkar,PERSON
Ganesh N Jayakumar,PERSON
Pankaj Bhatia,PERSON
Singla,PERSON
Mahantheshappa,PERSON
the Samyukt Kisan Morcha,ORG
Sukhbir Khalifa,PERSON
Bhogi Pal,PERSON
S Jothimani,PERSON
panchayat raj,ORG
Palwinder Singh,PERSON
Madhavpur Ghed,GPE
the Knitwear Club,ORG
S K Modi,PERSON
Udappanpatti,GPE
Nishanth Chennadi,PERSON
Amol Tambe,PERSON
Shilpi Arora,PERSON
GA,ORG
Sridevi,PERSON
Negamam,GPE
Noojibalthila,GPE
Sri Patibandla Sitaramaiah High School,ORG
the Santhal Pargana,ORG
Guru Gobind Singh Medical College,ORG
Kudtarkar,GPE
Gingee,GPE
Atul Panat,PERSON
Jarod,GPE
Navtejpal Singh,PERSON
Jeevanantham,PERSON
Sirsiya,GPE
Dawood Guddu Nadaf,PERSON
Ku Pa Krishnan,PERSON
Sonia,PERSON
Ashwartha Narayana,PERSON
Pimpalgaon,GPE
Channarayapatna taluk,GPE
Madras Court,ORG
The Punjab State Power Supply Corporation Ltd,ORG
Nagpur Agro Dealers Association,ORG
ABKS,ORG
Adhavathur,GPE
water resources department,ORG
Thakia,GPE
the Amaravati Parirakshana Samiti Joint Action Committee,ORG
Fadnavis,PERSON
Government Livestock Farm,ORG
Nandaon taluka,GPE
KSCH,ORG
Sinhgad,GPE
Khedkar,PERSON
the Godhra Agriculture Produce Market Committee,ORG
Chin,PERSON
Bharuch Ankleshwar Urban Development Authority,ORG
Vaikasi,GPE
Mukne,GPE
Markanda,PERSON
Rythu Mitra,GPE
ET Auto,ORG
Ankush Sagwan,PERSON
Sunkara Padmasri,PERSON
Huccharayappa,PERSON
Avinash Thakre,PERSON
E Revati,PERSON
Buxar,GPE
Peddireddy Ramachandra Reddy,PERSON
Bhikha Chaudhary,PERSON
Uttanahalli,GPE
Manmohan Singh,PERSON
Ajmer Singh Lakhowal,PERSON
JH Sarvaiya,PERSON
Roni,PERSON
Isha Outreach,ORG
Yaprala Narasimha Reddy,PERSON
Khola,GPE
Narasimhulu,PERSON
Mansharam,PERSON
RLIP,ORG
SRIKAKULAM,GPE
Mahoba,GPE
Benipur,GPE
Reddiarchathiram,GPE
Jonnalagadda,GPE
Sadhli,GPE
Navkiran Natt,PERSON
Swabhimani Shetakri Sanghatana,ORG
Digambar Kamble,PERSON
AIPEF,ORG
S Rayavaram,GPE
Gargoti,GPE
Kodagu,GPE
Rajkot Civil Hospital,ORG
Bharat Singh Hada,PERSON
Kandaghat,GPE
Ramu,PERSON
Shivanshi Dahiya,PERSON
the Satara Zilla Parishad,ORG
Yenke village,GPE
Vijay Rupani,PERSON
Palekar,PERSON
the Sultanpur Patti,GPE
Rooppur Kamalustation,GPE
Jair Bolsonaro,PERSON
Thopupatti,GPE
Joel Davis,PERSON
Bhoomika,ORG
SECUNDERABAD,GPE
National Museum of Natural History,ORG
Ramdhari,PERSON
Rajesh Verma,PERSON
DYFI,ORG
Sankeshwar,GPE
Faiz Ahmad Faiz’s,PERSON
Ahmednagar city,GPE
Palanpur,GPE
Koride Mahesh Assembly,ORG
Pravin Bhobhi,PERSON
Bathinda/Amritsar,GPE
Anand Bihari Dubey,PERSON
Barwala,GPE
Sattenapalli,GPE
Kulbir Singh,PERSON
the Punjab,ORG
Pramod Waman,PERSON
Bhoosreddy,PERSON
Baba Ram Singh,PERSON
Jayani,PERSON
Mohd Yameen,PERSON
Begumpet,GPE
MKU,ORG
ITDA,ORG
Vandanmedu,GPE
NFSM,ORG
Teaserve,ORG
Naraingarh Sugar Mill,ORG
Posts,ORG
Dhasmana,PERSON
Hamirgarh,GPE
P Moorthy,PERSON
Jannayak Janta Party,ORG
Sonu Sood,PERSON
All India Kisan Congress,ORG
the Narendra Modi,ORG
Ajnala,GPE
Maharajganj district,GPE
Galiya,PERSON
Madurai West,GPE
TK Choubey,PERSON
NOIDA,GPE
Bhankarpur,GPE
Morena,GPE
Devaraj,PERSON
Dumas,GPE
JAP (L,ORG
Stan Swami,PERSON
Baghra village,GPE
Kodryathur,GPE
Atmanirbhar,GPE
Shrikant Taral,PERSON
HISAR,PERSON
Kolarkar,ORG
Dhananjay Patil,PERSON
Tanavade,PERSON
Sidhu,PERSON
V Vijeeshna,PERSON
Shibu Soren,PERSON
Balakrishnan,PERSON
Gurjeet Singh Dhillon,PERSON
Ramlal,PERSON
Janta,GPE
Egypt,GPE
RPF,ORG
Muzafarpur,GPE
Vadodara/,GPE
Kanjhawala,GPE
Odisha,GPE
Naib Tehsildar,PERSON
James George,PERSON
T K S Elangovan,PERSON
Dalal khap,ORG
Lanji,GPE
Baroli Ahir,GPE
Ke,PERSON
HSC,ORG
B N Raju,PERSON
FPGs,ORG
Viresh Shandilya,PERSON
Invertis,GPE
Vijay Bhike,PERSON
Mukesh Sarla,PERSON
Tihar,GPE
Vasantrao Naik Marathwada Agricultural University,ORG
Satya Prakash,PERSON
SAS Nagar,GPE
Basavankuduchi,GPE
Garh Mukteshwar,GPE
Sahil,PERSON
Noida,GPE
PM,ORG
Gellu Srinivas Yadav,PERSON
Neeraj Kumar,PERSON
Paresh Dhanani,PERSON
Husandeep Singh Brar,PERSON
TS-Eamcet,ORG
Harmanbeer Waraich,PERSON
Rajal,PERSON
the Rajasthan HC,ORG
Sapte village,GPE
Kochupurakal,PERSON
Savadi,GPE
TERI,ORG
Dushyant Naik,PERSON
Bandyopadhyay,PERSON
Pappan Singh Gahlot,PERSON
Panipat,GPE
the Farmers Producers Groups,ORG
Mahrail,GPE
IIM-Ranchi,ORG
Gurdeep Singh,PERSON
city corporation,ORG
Sarukkai village,GPE
Kannuaj,GPE
Nyayasthanam,GPE
Bohatwas Bhondu,GPE
Nirmal,GPE
Sainath Meshram,PERSON
Rakesh Vaishnav,PERSON
USOL,ORG
Muniraj,PERSON
Gujarat State Federation of Co-operative Sugar Factories,ORG
CDA,ORG
James George Thottumariyil,PERSON
G K Nagaraj,PERSON
Gadchiroli,GPE
Thirumangalam,GPE
Tikri village,GPE
Kulan,GPE
Badesar,GPE
Munda,PERSON
Mothu Singh Kotda,PERSON
the High Court,ORG
Kerala Water Authority,ORG
S Ram Singh Bedi,PERSON
Mobin Farooqi,PERSON
Senate,ORG
Makdoli,GPE
Constructors San Jose-GVK Projects,ORG
Muringoor,GPE
Martin,PERSON
Vipin Itankar,PERSON
RAF,ORG
Uday Madkaikar,PERSON
Public Distribution System,ORG
Jhalatala village,GPE
Jalaluddin,PERSON
Ganapathi Nagar,GPE
Ram Singh Bhainibagha,PERSON
Kalva Chwok,GPE
UDAIPUR,GPE
The All India Kisan Sangharsh Coordination Committee,ORG
Anchetty,GPE
Panigate,GPE
Fulji Patanwadiya,PERSON
Kul Hind Kisan Sangharsh Talmel,ORG
NHAI,GPE
the Railway Board,ORG
Sahebrao Gulabrao Devnale,PERSON
Jagjit,PERSON
Ghulam Mohammad Jola,PERSON
Northern Regional Disease Diagnostic Laboratory,ORG
Kompangi,GPE
Theenampalayam,GPE
Cauvery S Dhanapalan,PERSON
R Perumalsamy,PERSON
Mahesh Singh,PERSON
Kamra,GPE
Sirla,GPE
Nainwa,GPE
Dinesh Sharma,PERSON
Ojha,PERSON
The Hindu Panchayat,ORG
Sipcot,GPE
Naurangpur,GPE
Velhe,GPE
The Netherlands,ORG
Kothur Tadepalli,GPE
BKU Sidhupur,ORG
Sultanganj,GPE
the US District Court,ORG
The Andhra Pradesh Secretariat Association,ORG
North Kolkata,GPE
Shivamogga,GPE
Surjit Singh Phul,PERSON
Singh,PERSON
Birdha,GPE
Karnal,GPE
PRTC,ORG
Dharampal Singh,PERSON
Vinay Reddy,PERSON
Mallika,PERSON
Rythu Bharosa Kendras(RBKs,ORG
P K Das,PERSON
Aharya Devvrat,PERSON
the Board of Secondary Education,ORG
Mahila Kisan Committee,ORG
Hesaruru,GPE
Matoshree,GPE
Bhupinder Singh Chattha,PERSON
Agricultural and Processed Food Products Export Development Authority,ORG
PM-AASHA,ORG
Punjab Agricultural University Teacher's Association,ORG
Nagaraj,PERSON
Govind Singh,PERSON
Sushil Khedkar,PERSON
Anji Reddy,PERSON
Chhotkipona village,GPE
Bareilly,GPE
Jhabua,GPE
the Tamil Manila Congress,ORG
Narayan Somwanshi,PERSON
S Ranganathan,PERSON
GR Chintala,PERSON
PL Punia,PERSON
Dumka,PERSON
Laxmibai,PERSON
Arya Dad,PERSON
Babasaheb Ambedkar Hospital,ORG
Yadadri Bhuvangiri,GPE
Somit Sen,PERSON
Khandesh Gin/Press Owners & Traders Development Association,ORG
Bawankule,PERSON
Jaya Saha,PERSON
Azad,PERSON
Sonu Singh,PERSON
Senthoorkumaran,PERSON
Ramakant Khalap,PERSON
Indian National Lok Dal,ORG
Ajay Hooda,PERSON
Galla village,GPE
the Primary Agriculture Cooperative Society,ORG
Uttarkahand,GPE
Shafi Jiruka,PERSON
directorate of agriculture,ORG
N Basavaraju,PERSON
the Haryana government,ORG
Narendr,PERSON
Keshav,PERSON
Dharmasagar,GPE
A M Nizar,PERSON
Gurpreet Singh Khaira,PERSON
Swami Yatishwaranand,PERSON
Rameshwar Jat,PERSON
Girwar,PERSON
farmers’ association,ORG
Karimnagar,GPE
Nayachar,GPE
Lalpur,GPE
Gaunkar,PERSON
Kuldeep Singh Tanwar,PERSON
Kulkarni,PERSON
Amit,PERSON
Deepanshu Lalit,PERSON
Jansewa Express,ORG
Veppanthattai,GPE
The Federation of All India Farmers Associations,ORG
HSWC,ORG
Samrajyam,PERSON
G R Jharia,PERSON
N K Bishnoi,PERSON
UPSC,ORG
BBB,ORG
Rao,PERSON
Ladwa,GPE
Shambhu,GPE
Hardeep Singh Dibdiba,PERSON
Gorakhpur,GPE
Dhirendra Pal Singh,PERSON
Shabad Naresh,PERSON
Nemom Government UP School,ORG
Ramanathan,PERSON
Chinnakodur,GPE
Horticrop,ORG
Mahipalpur,GPE
Ashok Gupta,PERSON
Rajnath Singh,PERSON
MNREGS,ORG
Saljini,GPE
Mahara,ORG
Amkhera Sanjaypur,GPE
Kolte,PERSON
Nita Khandekar,PERSON
Kathehra,GPE
Vedanta Ltd,ORG
Thandalacheri,GPE
department of science and technology,ORG
B Srividya,PERSON
Jagdeo,PERSON
The Tamil Nadu Agriculture University,ORG
Jabarjeet Singh,PERSON
Shivganj,GPE
Avinash Argade,PERSON
Belmandal village,GPE
Rajulu,PERSON
BAC,ORG
Kisan Sangharsh Samiti,ORG
Begusarai,GPE
Ram Prasad,PERSON
Nishank,ORG
The Rajasthan Public Service Commission,ORG
J V Akshatha,PERSON
Shankar,PERSON
V Nachimuthu,PERSON
Daleep Singh Kunwar,PERSON
Dari village,GPE
Godda,PERSON
Kaushik Patel,PERSON
Devesh Agarwal,PERSON
Pradeep,PERSON
KCCI,ORG
Nilesh Cabral,PERSON
Krishi Vigyan Kendra,ORG
Sable,PERSON
Shahzadpur,GPE
Kisan morcha,ORG
Yashendra Singh,PERSON
Balbanka Tiwari,PERSON
Balpur Mafi,GPE
